datasetid,title,citation,DOI,licence,accessconstraint,abstract,description,contact,include,complete,theme,keyword,,
2453,SHARK - Marine phytoplankton monitoring in Sweden since 1983,Swedish Agency for Marine and Water Management, Swedish Meteorological and Hydrological Institute (SMHI), (2015): SHARK - Marine phytoplankton monitoring in Sweden since 1983,NA,Attribution (CC BY),NA,Data collected within various monitoring programmes and surveys. Standard quantitative phytoplankton techniques following HELCOM MONAS guidelines. Counts and sometimes biovolumes on species level.,T,,NA,Patrik Strömberg,"Ecology - biodiversity , Phytoplankton",Long-term monitoring
2327,PANGAEA - Data from the Skagerrak experiment (SKAGEX),"Dybern, B I, Dahlin, Hans, Dubra, Juozas, Fennel, Wolfgang, Fogelqvist, Elisabet, Foyn, Lars, Gaul, Horst, Hansen, Hans Peter, Hernroth, Lars, Johannessen, Ola M, Krol, Tadeusz, Lange, Wolfgang, Lindahl, O, Slaczka, W, Talpsepp, L, Vitautas, A, SKAGEX Members (2007): Physical, chemical and biological oceanography from the Skagerrak Experiment (SKAGEX). International Council for the Exploration of the Sea, Copenhagen",NA,Attribution (CC BY),NA,"A joint international investigation in the Skagerrak area, the Skagerrak Experiment (SKAGEX) was carried out from spring 1990 to spring 1991. Four field phases (SKAGEX I-IV) were carried out, and 17 research ships from 7 countries participated.","A joint international investigation in the Skagerrak area, the Skagerrak Experiment (SKAGEX) was carried out from spring 1990 to spring 1991. Four field phases (SKAGEX I-IV) were carried out, and 17 research ships from 7 countries participated with the following objectives:
<ul>
<li>To identify and quantify the various water masses entering and leaving the Skagerrak Area, and their variations over time,
<li>To investigate the mechanisms that drive the circulation in the area, and its links with biological processes,
<li>To investigate the pathways of contaminants through the Skagerrak.
</ul>
The leader of the Project was B. Dybern, the ICES Data Centre acted as the project data centre, collating most of the oceanographic data from 2896 bottle/CTD profiles. This data set is a copy from the original data at ICES, published in 2007 via the information system Pangaea.",,T,,"Phytoplankton , Zooplankton","Phytoplankton , Zooplankton",,
2722,PANGAEA - Data from various sources,,NA,Attribution (CC BY),NA,Biological data from various sources within PANGAEA,"Collection of biological data from various sources within PANGAEA. Several smaller projects (less than 1 000 distribution records) and data which are not linked to a project, are collected here.

<b>Overview of included projects: </b>
<ul>
<li> Data from the Atlantic database for exchange processes at the deep see floor (ADEPD)
<li> Data from the Baltic Sea System Study (BASYS)
<li> Data from changes in the Geo-Biosphere during the last 15000 years
<li>Data from Pelagic-benthic coupling in the oligotrophic Cretan Sea (CINCS)
<li> Data from the European project on ocean acidification (EPOCA)
<li> Data from the Investigation of new marine biological resouces in deep waters of Ionian and Aegean Seas
<li> Data from Key coastal processes in the mesotrophic Skagerrak and the oligotrophic Northern Aegean (KEYCOP)
<li> Data from the Kurile-Okhotsk sea marine experiment (KOMEX)
<lI> Data from the Laptev Sea system project (LSS)
<li> Data from the Mangrove dynamics and management (MADAM)
<li> Data from Hydrodynamics and biogeochemical fluxes in the Straits of the Cretan Arc (PELAGOS)
<li> Data from Silicon cycling in the World Ocean (SINOPS)
<li> Data from multiproxy approach for the reconstruction of the glacial ocean surface
<li> Data from coastal ecology @ AWI
<li> Data from periglacial dynamics @ AWI
<li> Data from integrierte analyses zwischeneiszeitlicher klimadynamik
<li> Data without project indications
</ul>

Detailed citation information on these records can be found in PANGAEA.",,F,,,,,
2817,ICES Historical Plankton Dataset,"ICES Historical Plankton Dataset (1901-1912). The International Council for the Exploration of the Sea, Copenhagen. 2010. Online source: http://ecosystemdata.ices.dk.",NA,Licence ,ICES Data Policy: http://www.ices.dk/marine-data/guidelines-and-policy/Pages/ICES-data-policy.aspx,"Data from seven historical ICES volumes has been digitized and quality checked through a cooperative project between SAHFOS, ICES and the University of Plymouth (UK). Data include >13,000 plankton samples. Approximately 2000 taxa, many identified to species level, are included. The data are from a variety of cruises. Within EurOBIS and EMODnet, presence only values have been made available. 
<ul>
<li>ICES Bulletin Resultats Acquis Pendant les Courses Periodiques 1901-1902
<li> ICES Bulletin Resultats Acquis Pendant les Courses Periodiques 1902-1903
<li> Resultats Acquis Pendant les Courses Periodiques 1903-1904
<li> Resultats Acquis Pendant les Courses Periodiques 1904-1905
<li> Resultats Acquis Pendant les Courses Periodiques 1905-1906
<li> Resultats Acquis Pendant les Courses Periodiques 1906-1907
<li> Bulletin Planktonique 1907-1912
</ul>",NA,Abigail McQuatters-Gollop,T,,Plankton,Plankton,,
4424,ICES Phytoplankton Community dataset,"ICES Environmental Database (DOME), Phytoplankton community. Available online at http://dome.ices.dk. ICES, Copenhagen. Consulted on yyyy-mm-dd.",NA,Licence ,ICES Data Policy: https://www.ices.dk/data/Documents/ICES-Data-policy.pdf,Biological phytoplankton community data,NA,Neil Holdsworth,T,,Phytoplankton,,,
2463,Polish Monitoring Programme - Monitoring of the Baltic Sea: phytoplankton,"Polish Monitoring Programme - Monitoring of the Baltic Sea, Poland, (2016), PMS, IMWM Database: phytoplankton",NA,Attribution (CC BY),NA,"Phytoplankton data from Polish Exclusive Economic Zone of the Baltic Sea collected in frame of the Polish Monitoring Programme. Data include information on species composition, abundance and biomass (biovolume and C biomass) of phytoplankton community for the period of 2002-2012.",NA,Wlodzimierz Krzyminski,T,,"Biology , Ecology - biodiversity , Plankton , Phytoplankton","Long-term monitoring , Monitoring , Phytoplankton",,
5724,"Finnish Baltic Sea phytoplankton monitoring, KPLANK database","Finnish Environment Institute SYKE, (2019), Finnish Baltic Sea phytoplankton monitoring, KPLANK database",NA,Attribution (CC BY),NA,"The KPLANK database includes data on phytoplankton, covering the Finnish coastal areas as well as the offshore areas of the Baltic Sea. The quantitative data mainly stem from the Finnish national monitoring program and statutory monitoring programs. In total the database contain approximately 240 000 quantitative records including size classes. The data span from 1937 to present. The database is regularly maintained and data is added continuously.",NA,Sirpa Lehtinen,T,,Phytoplankton,"Long-term monitoring , Species distribution",,
6578,Non-indigenous (NIS) and cryptogenic species in European regional seas and adjacent areas,"AquaNIS. Editorial Board, 2020. Information system on Aquatic Non-Indigenous and Cryptogenic Species. World Wide Web electronic publication. www.corpi.ku.lt/databases/aquanis. Version 2.36+. Accessed 2020-09-09",NA,CC 0 (No Rights Reserved),NA,"The dataset includes 3305 georeferenced points/records. The data records were gathered using three types: digitatalization, exact occurences and expert judgement. The georeferenced data was extracted from the scientific publications and specialized databases (AquaNIS, ICES and Google scholar).",The main aim to make this database of non-native species is to count invasiveness using the quantitative criteria MER (Sandvik et al. 2013) to predict the spread between different alien species (Srėbaliene. PhD thesis. 2019).,greta.srebaliene@apc.ku.lt,T,,"Benthos , Fish , Macroalgae , Phytoplankton , Zooplankton , Plants","Introduced species , Non-native marine species",,
5664,Phytoplankton data for Danish marine monitoring (ODAM) from 1988 - 2016,Danish Centre for Environment and Energy (2019). Phytoplankton data for Danish marine monitoring (ODAM) from 1988 - 2016,NA,Attribution-NonCommercial (CC BY-NC),NA,"Data is an assembly of plankton monitoring stations situated between 54° and 58° North along the Danish coasts and in estuaries. There are multiple phytoplankton stations and 15 of them are maintained by 2016, although the data set also contains data of several discontinued stations. Each phytoplankton station is visited 1 to 4 times per month over a period of 25 years for some of the stations (two times per month is the norm). Samples are analyzed to estimate phytoplankton composition and abundance. The cell volume is determined for a sub group of cell of each species encountered, thus estimating a cell volume that is applied to the entire sample",NA,David Rytter,T,,Phytoplankton,,,
216,The CPR Survey,"Johns D, Broughton D (2019): The CPR Survey. v1.0. Marine Biological Association. Dataset/Samplingevent http://doi.dassh.ac.uk/data/1629",http://doi.dassh.ac.uk/data/1629,Attribution (CC BY),NA,The SAHFOS CPR survey is the longest and most geographically extensive marine biological survey in the world. The CPR survey has been in operation in the North Sea and North Atlantic since 1946 and has systematically sampled up to 500 planktonic taxa from the major regions of the North Atlantic at a monthly resolution. This dataset contains also CPR surveys in the Pacific and the South Atlantic.,"The Continuous Plankton Recorder (CPR) survey has been operating in the North Atlantic and North Sea since 1946 and measures the abundance of approximately 450 phytoplankton and zooplankton taxa (Warner and Hays, 1994). The CPR is a high-speed plankton recorder that is towed behind ‘ships of opportunity’ through the surface layer of the ocean (~10 m depth). Water passes through the recorder, and plankton are filtered by a slow moving silk (mesh size 270 μm). A second layer of silk covers the first and both are reeled into a tank containing 4% formaldehyde. Upon returning to the laboratory, the silk on is unwound and cut into sections corresponding to 10 nautical miles and approximately 3 m3 of filtered sea water. The colour of each section of CPR silk is then evaluated and categorized according to four levels of ‘greenness’ (green, pale green, very pale green and no colour) using a standard colour chart, these numbers are given a numerical value as a measure of the ‘Phytoplankton Colour Index’. This is a semiquantitative measure of phytoplankton biomass, the silk gets its green colour from the chloroplasts of the filtered phytoplankton. Phytoplankton cells are then identified and recorded as either present or absent across 20 microscopic fields spanning each section of silk, CPR phytoplankton abundance is therefore a semiquantitative estimate (i.e. the species is recorded once per field independent of the number of cells in a field). However, the proportion of cells captured by the silk reflects the major changes in abundance, distribution, and community composition of the phytoplankton (Robinson, 1970), and is consistent and comparable over time. Zooplankton analysis then carried out in two stages with small (<2 mm) zooplankton identified and counted on-silk and larger (>2 mm) zooplankton enumerated off-silk. The collection and analysis of CPR samples have been carried out using a consistent methodological approach since 1958, making the CPR survey the longest continuous dataset of its kind in the world (Edwards and Richardson, 2004).",,T,,"Ecology - biodiversity , Phytoplankton , Zooplankton","Phytoplankton , Plankton , Zooplankton",,
