aphiaID,scientificName,n_events
134529,Pyramimonas,20692
115090,Chrysochromulina,19910
106303,Plagioselmis prolonga,18138
110152,Heterocapsa rotundata,16730
106285,Teleaulax,15205
109475,Gymnodinium,14288
109603,Dinophysis acuminata,13248
109392,Gymnodiniales,12064
376667,Skeletonema marinoi,11693
148985,Chaetoceros,11140
160599,Pseudopedinella,10570
156690,Thalassiosira baltica,10475
109394,Peridiniales,10428
495363,Tripos muelleri,10321
109637,Dinophysis norvegica,9608
160567,Aphanizomenon,9181
17640,Cryptomonadales,9132
106310,Hemiselmis virescens,8820
160524,Chaetoceros wighamii,8775
146203,Dinoflagellata,7578
840626,Tripos fusus,7549
149120,Chaetoceros danicus,7240
149074,Skeletonema costatum,6892
985570,Synedra nitzschioides f. nitzschioides,6864
178611,Oocystis,6844
149004,Cylindrotheca closterium,6832
110303,Prorocentrum micans,6738
109545,Scrippsiella,6659
149168,Proboscia alata,6597
146562,Aphanocapsa,6307
1346683,Kryptoperidinium triquetrum,6267
110156,Peridiniella catenata,5929
341285,Centrales,5886
146543,Chroococcales,5711
1310442,Octactis speculum,5696
575737,Binuclearia lauterbornii,5664
19542,Dinophyceae,5476
146585,Anabaena,5476
110208,Protoperidinium bipes,5456
146617,Woronichinia,5327
148912,Thalassiosira,5322
160566,Nodularia spumigena,5164
837459,Tripos lineatus,5140
109553,Protoperidinium,5105
840627,Tripos furca,4976
106282,Cryptomonas,4888
106305,Teleaulax acuta,4638
961694,Cerataulina bergonii,4638
146715,Aphanothece,4563
106306,Teleaulax amphioxeia,4370
985165,Rhizosolenia fragilissima f. fragilissima,4355
17639,Cryptophyceae,4268
160553,Dinobryon faculiferum,4235
177588,Pseudanabaena,4136
160530,Rhizosolenia flaccida,4131
148908,Cyclotella choctawhatcheeana,4112
841259,Tripos longipes,4033
109538,Glenodinium,3985
149114,Rhizosolenia delicatula,3928
110210,Protoperidinium brevipes,3911
110245,Protoperidinium pellucidum,3804
232376,Prorocentrum cordatum,3781
177108,Cyanodictyon,3766
134559,Pyramimonas virginica,3723
109876,Gyrodinium spirale,3513
115061,Prymnesiales,3261
149115,Rhizosolenia setigera,3238
109476,Gyrodinium,3126
163624,Pauliella taeniata,3069
149106,Leptocylindrus danicus,3051
148917,Coscinodiscus,3047
106287,Hemiselmis,3019
163131,Chaetoceros subtilis var. subtilis,2960
110316,Prorocentrum triestinum,2929
233592,Lingulodinium polyedra,2902
109726,Amphidinium crassum,2816
149271,Coscinodiscus granii,2815
149151,Pseudo-nitzschia,2796
149023,Ditylum brightwellii,2785
162770,Actinocyclus octonarius var. octonarius,2700
149150,Nitzschia longissima,2697
149126,Chaetoceros decipiens,2685
146677,Planktolyngbya,2659
177595,Romeria,2601
160552,Dinobryon balticum,2578
163932,Ceratoneis closterium,2548
163016,Chaetoceros ceratosporus var. ceratosporus,2543
109604,Dinophysis acuta,2498
663583,Protodinium simplex,2463
149127,Chaetoceros similis,2440
841260,Tripos macroceros,2436
177138,Lemmermanniella,2427
149308,Thalassiosira levanderi,2412
146545,Merismopedia,2390
148899,Bacillariophyceae,2343
149001,Bacillariales,2320
627627,Merismopedia tranquilla,2318
962003,Chaetoceros septentrionalis,2308
110217,Protoperidinium depressum,2249
178583,Chlamydomonas,2233
156619,Chaetoceros perpusillus,2195
148955,Asterionella glacialis,2174
146546,Merismopedia warmingiana,2171
149153,Pseudo-nitzschia delicatissima,2128
248145,Oocystis submarina,2087
149241,Chaetoceros affinis,2047
110219,Protoperidinium divergens,2003
149152,Pseudo-nitzschia seriata,1995
146603,Oscillatoriales,1973
1380043,Apocalathium malmogiense,1959
248097,Apedinella radians,1942
110223,Protoperidinium granii,1934
149039,Leptocylindrus minimus,1927
110155,Oblea rotunda,1906
156505,Phalacroma rotundatum,1881
106283,Plagioselmis,1875
163063,Chaetoceros holsaticus,1872
109754,Amphidinium sphenoides,1867
163348,Rhizosolenia semispina,1839
110257,Protoperidinium steinii,1835
148971,Coscinodiscophycidae,1835
149045,Nitzschia,1767
248149,Pseudopedinella elastica,1756
