year	aphiaid	scientificnameaccepted	date	xUTM	yUTM	season	eventid	mrgid	month	occurrence	gridnr	middleXgrid	middleYgrid
1991	109711	Alexandrium minutum	1991-01-08	966601.3972345495	6553703.425033278	winter	1991-01-08-58.8683-11.1033	NA	NA	0	549	962500	6562500
1991	109711	Alexandrium minutum	1991-01-09	1004348.1227260765	6468212.037987176	winter	1991-01-09-58.0667-11.5625	NA	NA	0	448	997500	6457500
1991	109711	Alexandrium minutum	1991-01-15	1340724.444720433	6610673.998957838	winter	1991-01-15-58.803-17.6253	NA	NA	0	594	1347500	6597500
1991	109711	Alexandrium minutum	1991-01-15	1340726.3218146283	6610674.417969277	winter	1991-01-15-58.803-17.625333	NA	NA	0	594	1347500	6597500
1991	109711	Alexandrium minutum	1991-01-15	1380880.9707428887	6594504.785362296	winter	1991-01-15-58.5833-18.2333	NA	NA	0	595	1382500	6597500
1991	109711	Alexandrium minutum	1991-01-15	1380882.0178348809	6594508.836910611	winter	1991-01-15-58.583333-18.233333	NA	NA	0	595	1382500	6597500
1991	109711	Alexandrium minutum	1991-01-19	835423.2432091013	6357058.530754128	winter	100LD-3	NA	NA	0	341	822500	6352500
1991	109711	Alexandrium minutum	1991-01-19	865884.3809954827	6378328.377187031	winter	100LD-5	NA	NA	0	376	857500	6387500
1991	109711	Alexandrium minutum	1991-01-19	896239.5271582154	6399854.824720002	winter	100LD-7	NA	NA	0	377	892500	6387500
1991	109711	Alexandrium minutum	1991-01-19	927605.2093757768	6419504.389095854	winter	100LD-9	NA	NA	0	412	927500	6422500
1991	109711	Alexandrium minutum	1991-01-21	1085933.4822206884	6301603.174843772	winter	1991-01-21-56.4917-12.5333	NA	NA	0	315	1102500	6317500
1991	109711	Alexandrium minutum	1991-01-23	1118658.6703932765	6228430.189171666	winter	1991-01-23-55.8025-12.8875	NA	NA	0	213	1102500	6212500
1991	109711	Alexandrium minutum	1991-02-05	966601.3972345495	6553703.425033278	winter	1991-02-05-58.8683-11.1033	NA	NA	0	549	962500	6562500
1991	109711	Alexandrium minutum	1991-02-14	981923.4246286184	6486963.975582334	winter	1991-02-14-58.2583-11.225	NA	NA	0	482	997500	6492500
