year	aphiaid	scientificnameaccepted	date	xUTM	yUTM	season	eventid	mrgid	month	occurrence	gridnr	middleXgrid	middleYgrid
1988	698325	Aphanizomenon flosaquae f. gracile	1988-01-13	1340724.444720433	6610673.998957838	winter	1988-01-13-58.803-17.6253	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-01-13	1340726.3218146283	6610674.417969277	winter	1988-01-13-58.803-17.625333	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-01-18	954929.4012093518	6063793.560279642	winter	1988-01-18-54.516667-10.033333	NA	NA	0	41	962500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-01-18	980846.3275756713	6075823.734023209	winter	1988-01-18-54.6-10.45	NA	NA	0	42	997500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-02-09	1340724.444720433	6610673.998957838	winter	1988-02-09-58.803-17.6253	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-02-09	1340726.3218146283	6610674.417969277	winter	1988-02-09-58.803-17.625333	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-02-25	1389711.7841630843	6781708.958347845	winter	1988-02-25-60.183333-19.15	NA	NA	0	753	1382500	6772500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-02	1544199.0064118968	6199303.386709359	spring	1988-03-02-54.833333-19.333333	NA	NA	0	198	1557500	6212500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-03	1467265.3379405388	6264261.539654143	spring	1988-03-03-55.55-18.4	NA	NA	0	230	1452500	6247500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-04	954929.4012093518	6063793.560279642	spring	1988-03-04-54.516667-10.033333	NA	NA	0	41	962500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-04	980846.3275756713	6075823.734023209	spring	1988-03-04-54.6-10.45	NA	NA	0	42	997500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-04	1322829.855920516	6199757.492364051	spring	1988-03-04-55.25-15.983333	NA	NA	0	191	1312500	6212500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-05	1038173.3772065549	6078555.355469411	spring	1988-03-05-54.566667-11.333333	NA	NA	0	43	1032500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-06	980846.3275756713	6075823.734023209	spring	1988-03-06-54.6-10.45	NA	NA	0	42	997500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-06	999349.8491598344	6085321.030672581	spring	1988-03-06-54.666667-10.75	NA	NA	0	42	997500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-07	1038173.3772065549	6078555.355469411	spring	1988-03-07-54.566667-11.333333	NA	NA	0	43	1032500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-07	1055521.524951823	6052527.847449729	spring	1988-03-07-54.316667-11.55	NA	NA	0	9	1067500	6037500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-07	1057819.1658052052	6317486.079053133	spring	1988-03-07-56.666667-12.116667	NA	NA	0	289	1067500	6317500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-07	1109077.0057371191	6234305.727965205	spring	1988-03-07-55.866667-12.75	NA	NA	0	220	1102500	6247500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-08	974553.4717001757	6328515.394401536	spring	1988-03-08-56.856667-10.791667	NA	NA	0	286	962500	6317500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-08	1100583.6555692982	6077048.072110372	spring	1988-03-08-54.483333-12.283333	NA	NA	0	45	1102500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-09	1006536.2265866443	6250766.205610654	spring	1988-03-09-56.131667-11.16	NA	NA	0	217	997500	6247500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-09	1340724.444720433	6610673.998957838	spring	1988-03-09-58.803-17.6253	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-09	1340726.3218146283	6610674.417969277	spring	1988-03-09-58.803-17.625333	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-10	980846.3275756713	6075823.734023209	spring	1988-03-10-54.6-10.45	NA	NA	0	42	997500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-10	999349.8491598344	6085321.030672581	spring	1988-03-10-54.666667-10.75	NA	NA	0	42	997500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-10	1157647.431594468	6143431.086909096	spring	1988-03-10-55-13.3	NA	NA	0	117	1172500	6142500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-16	1340724.444720433	6610673.998957838	spring	1988-03-16-58.803-17.6253	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-16	1340726.3218146283	6610674.417969277	spring	1988-03-16-58.803-17.625333	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-19	1439038.541942355	7407062.616862568	spring	1988-03-19-65.391667-23.5	NA	NA	0	1385	1452500	7402500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-21	1118658.6703932765	6228430.189171666	spring	1988-03-21-55.8025-12.8875	NA	NA	0	185	1102500	6212500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-21	1126140.7904594117	6214169.214852397	spring	1988-03-21-55.6667-12.9725	NA	NA	0	186	1137500	6212500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-22	1615920.1731168646	6763402.645604697	spring	1988-03-22-59.483333-22.9	NA	NA	0	760	1627500	6772500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-23	1340724.444720433	6610673.998957838	spring	1988-03-23-58.803-17.6253	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-23	1340726.3218146283	6610674.417969277	spring	1988-03-23-58.803-17.625333	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-23	1443694.9469517781	6749121.741410942	spring	1988-03-23-59.783333-19.933333	NA	NA	0	720	1452500	6737500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-23	1529600.2484127865	6684874.886847018	spring	1988-03-23-59.033333-21.083333	NA	NA	0	652	1522500	6667500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-24	1387803.9606499113	6885695.39823096	spring	1988-03-24-61.083333-19.583333	NA	NA	0	858	1382500	6877500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-24	1389711.7841630843	6781708.958347845	spring	1988-03-24-60.183333-19.15	NA	NA	0	753	1382500	6772500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-26	1380882.0178348809	6594508.836910611	spring	1988-03-26-58.583333-18.233333	NA	NA	0	578	1382500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-27	1520346.5318584312	6482303.290114613	spring	1988-03-27-57.32-20.05	NA	NA	0	477	1522500	6492500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-29	1340724.444720433	6610673.998957838	spring	1988-03-29-58.803-17.6253	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-03-29	1340726.3218146283	6610674.417969277	spring	1988-03-29-58.803-17.625333	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-05	1008912.1449930845	6410622.722736319	spring	1988-04-05-57.55-11.516667	NA	NA	0	392	997500	6422500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-05	1023060.4537266366	6371141.34432678	spring	1988-04-05-57.183333-11.666667	NA	NA	0	358	1032500	6387500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-06	1057819.1658052052	6317486.079053133	spring	1988-04-06-56.666667-12.116667	NA	NA	0	289	1067500	6317500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-06	1079657.2472645044	6271580.328923123	spring	1988-04-06-56.233333-12.366667	NA	NA	0	254	1067500	6282500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-06	1340724.444720433	6610673.998957838	spring	1988-04-06-58.803-17.6253	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-06	1340726.3218146283	6610674.417969277	spring	1988-04-06-58.803-17.625333	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-07	975144.515126594	6327834.09773194	spring	1988-04-07-56.85-10.8	NA	NA	0	286	962500	6317500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-07	1006334.4939753194	6247181.660934394	spring	1988-04-07-56.1-11.15	NA	NA	0	217	997500	6247500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-12	1340724.444720433	6610673.998957838	spring	1988-04-12-58.803-17.6253	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-12	1340726.3218146283	6610674.417969277	spring	1988-04-12-58.803-17.625333	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-13	1544199.0064118968	6199303.386709359	spring	1988-04-13-54.833333-19.333333	NA	NA	0	198	1557500	6212500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-14	1467265.3379405388	6264261.539654143	spring	1988-04-14-55.55-18.4	NA	NA	0	230	1452500	6247500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-15	1322829.855920516	6199757.492364051	spring	1988-04-15-55.25-15.983333	NA	NA	0	191	1312500	6212500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-19	954929.4012093518	6063793.560279642	spring	1988-04-19-54.516667-10.033333	NA	NA	0	41	962500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-19	980846.3275756713	6075823.734023209	spring	1988-04-19-54.6-10.45	NA	NA	0	42	997500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-20	1055521.524951823	6052527.847449729	spring	1988-04-20-54.316667-11.55	NA	NA	0	9	1067500	6037500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-20	1100583.6555692982	6077048.072110372	spring	1988-04-20-54.483333-12.283333	NA	NA	0	45	1102500	6072500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-20	1340724.444720433	6610673.998957838	spring	1988-04-20-58.803-17.6253	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-20	1340726.3218146283	6610674.417969277	spring	1988-04-20-58.803-17.625333	NA	NA	0	577	1347500	6597500
1988	698325	Aphanizomenon flosaquae f. gracile	1988-04-21	973718.0459743006	6071329.982388433	spring	1988-04-21-54.566667-10.333333	NA	NA	0	41	962500	6072500
