year	aphiaid	scientificnameaccepted	date	xUTM	yUTM	season	eventid	mrgid	month	occurrence	gridnr	middleXgrid	middleYgrid
1982	148934	Thalassiosira pseudonana	1982-01-12	1057819.1658052052	6317486.079053133	winter	1982-01-12-56.666667-12.116667	NA	NA	0	334	1067500	6317500
1982	148934	Thalassiosira pseudonana	1982-01-12	1109077.0057371191	6234305.727965205	winter	1982-01-12-55.866667-12.75	NA	NA	0	263	1102500	6247500
1982	148934	Thalassiosira pseudonana	1982-01-14	1157647.431594468	6143431.086909096	winter	1982-01-14-55-13.3	NA	NA	0	157	1172500	6142500
1982	148934	Thalassiosira pseudonana	1982-02-25	1365010.9132716346	7054167.287491726	winter	1982-02-25-62.583333-19.983333	NA	NA	0	1099	1382500	7052500
1982	148934	Thalassiosira pseudonana	1982-03-02	1008912.1449930845	6410622.722736319	spring	1982-03-02-57.55-11.516667	NA	NA	0	440	997500	6422500
1982	148934	Thalassiosira pseudonana	1982-03-02	1023060.4537266366	6371141.34432678	spring	1982-03-02-57.183333-11.666667	NA	NA	0	405	1032500	6387500
1982	148934	Thalassiosira pseudonana	1982-03-04	1065417.0076317978	6307234.931035287	spring	1982-03-04-56.566667-12.216667	NA	NA	0	334	1067500	6317500
1982	148934	Thalassiosira pseudonana	1982-03-16	1427261.9143845849	7265894.73942699	spring	1982-03-16-64.233333-22.35	NA	NA	0	1316	1417500	7262500
1982	148934	Thalassiosira pseudonana	1982-03-16	1440873.5486579542	7396779.350303623	spring	1982-03-16-65.3-23.466667	NA	NA	0	1461	1452500	7402500
1982	148934	Thalassiosira pseudonana	1982-03-22	1057819.1658052052	6317486.079053133	spring	1982-03-22-56.666667-12.116667	NA	NA	0	334	1067500	6317500
1982	148934	Thalassiosira pseudonana	1982-03-22	1109077.0057371191	6234305.727965205	spring	1982-03-22-55.866667-12.75	NA	NA	0	263	1102500	6247500
1982	148934	Thalassiosira pseudonana	1982-03-22	1710908.8455254103	6841004.964083748	spring	1982-03-22-59.871667-24.9	NA	NA	0	892	1697500	6842500
1982	148934	Thalassiosira pseudonana	1982-03-23	974553.4717001757	6328515.394401536	spring	1982-03-23-56.856667-10.791667	NA	NA	0	331	962500	6317500
1982	148934	Thalassiosira pseudonana	1982-03-23	1615920.1731168646	6763402.645604697	spring	1982-03-23-59.483333-22.9	NA	NA	0	818	1627500	6772500
1982	148934	Thalassiosira pseudonana	1982-03-24	1055544.0936527485	6052343.03633616	spring	1982-03-24-54.315-11.55	NA	NA	0	46	1067500	6037500
1982	148934	Thalassiosira pseudonana	1982-03-24	1387662.1148711117	6886239.530738225	spring	1982-03-24-61.088333-19.583333	NA	NA	0	919	1382500	6877500
1982	148934	Thalassiosira pseudonana	1982-03-24	1389574.7678790535	6782254.273420256	spring	1982-03-24-60.188333-19.15	NA	NA	0	811	1382500	6772500
1982	148934	Thalassiosira pseudonana	1982-03-25	1038129.268589836	6078924.917842233	spring	1982-03-25-54.57-11.333333	NA	NA	0	81	1032500	6072500
1982	148934	Thalassiosira pseudonana	1982-03-25	1096526.981821123	6074631.501253428	spring	1982-03-25-54.466667-12.216667	NA	NA	0	83	1102500	6072500
1982	148934	Thalassiosira pseudonana	1982-03-25	1157647.431594468	6143431.086909096	spring	1982-03-25-55-13.3	NA	NA	0	157	1172500	6142500
1982	148934	Thalassiosira pseudonana	1982-03-25	1780216.225171159	6890016.677633874	spring	1982-03-25-60.070667-26.338333	NA	NA	0	930	1767500	6877500
1982	148934	Thalassiosira pseudonana	1982-03-27	1202154.5751828782	6150287.203534187	spring	1982-03-27-55-14	NA	NA	0	158	1207500	6142500
1982	148934	Thalassiosira pseudonana	1982-03-28	1322829.855920516	6199757.492364051	spring	1982-03-28-55.25-15.983333	NA	NA	0	233	1312500	6212500
1982	148934	Thalassiosira pseudonana	1982-03-29	1467265.3379405388	6264261.539654143	spring	1982-03-29-55.55-18.4	NA	NA	0	273	1452500	6247500
1982	148934	Thalassiosira pseudonana	1982-03-30	1522344.7945520617	6481072.780127012	spring	1982-03-30-57.305-20.076667	NA	NA	0	527	1522500	6492500
1982	148934	Thalassiosira pseudonana	1982-04-17	761674.3361078216	6430783.529413022	spring	240G--3	NA	NA	0	433	752500	6422500
1982	148934	Thalassiosira pseudonana	1982-04-17	798669.7401257341	6427412.1491932925	spring	240G--1	NA	NA	0	434	787500	6422500
1982	148934	Thalassiosira pseudonana	1982-05-06	1055544.0936527485	6052343.03633616	spring	1982-05-06-54.315-11.55	NA	NA	0	46	1067500	6037500
1982	148934	Thalassiosira pseudonana	1982-05-09	1038129.268589836	6078924.917842233	spring	1982-05-09-54.57-11.333333	NA	NA	0	81	1032500	6072500
1982	148934	Thalassiosira pseudonana	1982-05-10	1008912.1449930845	6410622.722736319	spring	1982-05-10-57.55-11.516667	NA	NA	0	440	997500	6422500
1982	148934	Thalassiosira pseudonana	1982-05-10	1096526.981821123	6074631.501253428	spring	1982-05-10-54.466667-12.216667	NA	NA	0	83	1102500	6072500
